,global,local,fusion
45,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.35435036 0.741837   0.27628767 ... 0.322292   0.62123674 0.7491264 ]
 [0.39186198 0.70225894 0.30698103 ... 0.4153102  0.621208   0.7027639 ]
 [0.37717646 0.72847444 0.27825058 ... 0.38189423 0.63035804 0.7401568 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5903708  0.55104387 0.49111548 ... 0.5176349  0.6627383  0.5740355 ]
 [0.5878173  0.5504629  0.49604565 ... 0.50377846 0.6310953  0.5546796 ]
 [0.5799278  0.5649978  0.4805664  ... 0.4918517  0.65327877 0.5630723 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.7203357  0.33487362 0.438808   ... 0.55403423 0.7921374  0.59320414]
 [0.67307425 0.3890969  0.43401998 ... 0.55566275 0.7431736  0.55074316]
 [0.6922213  0.37332132 0.44223836 ... 0.562882   0.76281667 0.5622534 ]]"
46,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.40396369 0.6793691  0.33647972 ... 0.40043512 0.5993476  0.6828408 ]
 [0.3909202  0.69705284 0.31896684 ... 0.40176123 0.61075354 0.69657385]
 [0.40452462 0.6780063  0.3377648  ... 0.40759945 0.5962459  0.6799838 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.58069736 0.5541171  0.496886   ... 0.5081826  0.63379854 0.5500037 ]
 [0.5687581  0.5478751  0.49115694 ... 0.49801463 0.61781293 0.548713  ]
 [0.59235525 0.55308676 0.5058452  ... 0.51299465 0.64658356 0.5592466 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.66790086 0.3855739  0.43548855 ... 0.5396495  0.73189104 0.5562358 ]
 [0.6553725  0.38869178 0.4385713  ... 0.54194665 0.72369504 0.565236  ]
 [0.6803741  0.38874763 0.4218474  ... 0.5508059  0.73866105 0.5478969 ]]"
47,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.34115186 0.7481491  0.26825556 ... 0.30859464 0.62175953 0.75408113]
 [0.3419334  0.7484901  0.26531625 ... 0.3093248  0.62173444 0.757181  ]
 [0.34975284 0.742134   0.27446175 ... 0.31743085 0.61996144 0.7450297 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5979813  0.57387966 0.45905614 ... 0.5111648  0.68283236 0.5764278 ]
 [0.5904875  0.563074   0.48117468 ... 0.5137017  0.67491966 0.5748872 ]
 [0.58831006 0.56781405 0.46697935 ... 0.51017743 0.67591274 0.5682056 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.7322019  0.30883268 0.4269534  ... 0.5548342  0.8135235  0.5700699 ]
 [0.72331357 0.32398292 0.4325049  ... 0.5570488  0.811304   0.5827207 ]
 [0.7204831  0.3196853  0.4322924  ... 0.55616754 0.80065155 0.5654109 ]]"
48,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.37778157 0.7111668  0.30080864 ... 0.33551547 0.5978301  0.7206768 ]
 [0.426939   0.64556867 0.37706256 ... 0.39417002 0.56439763 0.6412473 ]
 [0.44689173 0.60800004 0.39943036 ... 0.45491752 0.56234235 0.60485935]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5811175  0.55983335 0.51275194 ... 0.49014384 0.63614863 0.54942864]
 [0.59981793 0.5474892  0.50106627 ... 0.4978211  0.66707253 0.5751303 ]
 [0.5810792  0.57472503 0.46978816 ... 0.49753994 0.6925043  0.5769355 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.69026667 0.3475449  0.44518492 ... 0.5347582  0.7619802  0.5798058 ]
 [0.700967   0.39696077 0.43472263 ... 0.55047446 0.72648    0.5241549 ]
 [0.6972786  0.4037397  0.41505343 ... 0.57124406 0.7116444  0.47996074]]"
49,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.39845625 0.704336   0.31585273 ... 0.39488113 0.61934596 0.7052289 ]
 [0.41463193 0.6558634  0.35873488 ... 0.423222   0.5826409  0.65520513]
 [0.40293968 0.6813802  0.33255187 ... 0.41157293 0.60003775 0.6844594 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.585934   0.5585605  0.50151974 ... 0.49488083 0.6550688  0.5569231 ]
 [0.5824836  0.53863454 0.48850125 ... 0.521824   0.6413457  0.5781947 ]
 [0.60426325 0.5609105  0.48302767 ... 0.49596658 0.669073   0.5628908 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.68839884 0.38649467 0.43265235 ... 0.5566562  0.7502071  0.54526603]
 [0.6738052  0.40663388 0.4344248  ... 0.5579675  0.7133783  0.5413783 ]
 [0.700849   0.37877497 0.40832692 ... 0.5491705  0.7510723  0.5040438 ]]"
50,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.40080652 0.70133615 0.30819005 ... 0.42420036 0.61656046 0.71421444]
 [0.35946813 0.73602617 0.2849203  ... 0.34506643 0.630742   0.7407788 ]
 [0.4489485  0.61191434 0.39657328 ... 0.45363826 0.56732494 0.6176246 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.60722405 0.5685719  0.4897095  ... 0.5041244  0.6783226  0.56225187]
 [0.5998081  0.55693936 0.4696073  ... 0.4951135  0.6704895  0.57066417]
 [0.5785966  0.5569365  0.5026599  ... 0.4944855  0.6289474  0.5542656 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.70337284 0.38176808 0.4190229  ... 0.5581103  0.7566863  0.51142615]
 [0.7209734  0.33750743 0.43230924 ... 0.55489177 0.7880388  0.5498992 ]
 [0.6544595  0.4348676  0.43556744 ... 0.5497857  0.6842705  0.5092966 ]]"
51,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.4475661  0.6107789  0.39782575 ... 0.45017454 0.56165934 0.6174325 ]
 [0.3858854  0.70510364 0.31204644 ... 0.3500929  0.58809793 0.7061913 ]
 [0.3731679  0.72520775 0.2884702  ... 0.3277342  0.59195185 0.7281521 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.56951565 0.5349717  0.52914125 ... 0.49073434 0.6002836  0.54757905]
 [0.57476145 0.54426306 0.50641674 ... 0.49894115 0.6171092  0.54235506]
 [0.56388915 0.5408855  0.50308627 ... 0.48586112 0.5951429  0.5449398 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6252474  0.44416037 0.4445231  ... 0.5389927  0.65669286 0.526227  ]
 [0.6699244  0.35148925 0.4660116  ... 0.54653335 0.7457176  0.5946592 ]
 [0.6573602  0.34738153 0.48048174 ... 0.53825796 0.737946   0.61723024]]"
52,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.37731054 0.72577685 0.29154864 ... 0.35909453 0.62186784 0.7308772 ]
 [0.4298735  0.649482   0.37355888 ... 0.4233048  0.58431494 0.6542993 ]
 [0.3738312  0.7356701  0.28242886 ... 0.3792029  0.6249924  0.73990387]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.58145446 0.55955195 0.48020592 ... 0.490386   0.6404974  0.5578984 ]
 [0.5939666  0.5666001  0.46898735 ... 0.49646816 0.6678267  0.5765742 ]
 [0.59071267 0.5647346  0.481022   ... 0.48787144 0.6542439  0.56227386]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6840299  0.3584567  0.45308653 ... 0.54690146 0.7557384  0.5756156 ]
 [0.68908733 0.41156667 0.41522855 ... 0.5539493  0.7191192  0.5037035 ]
 [0.6995014  0.36162686 0.4365199  ... 0.5432098  0.7662367  0.55898905]]"
53,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.379804   0.7066528  0.30684826 ... 0.34998113 0.60030454 0.7115806 ]
 [0.3506452  0.7380821  0.2776962  ... 0.33295494 0.62629163 0.74249786]
 [0.37451476 0.7217525  0.29702276 ... 0.36320063 0.6134589  0.7278649 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5941378  0.5647081  0.5154144  ... 0.4967005  0.65572006 0.55994934]
 [0.58724785 0.5623058  0.47045988 ... 0.5051295  0.65724105 0.5687188 ]
 [0.57818884 0.5540156  0.47227558 ... 0.48917603 0.6539123  0.57396525]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.70848805 0.35363498 0.42664665 ... 0.5414146  0.7700185  0.5507052 ]
 [0.71099657 0.33218893 0.4469076  ... 0.553278   0.7895061  0.56808686]
 [0.69283706 0.36556306 0.44229326 ... 0.5604112  0.76040703 0.5757742 ]]"
54,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.3612273  0.7230069  0.2980949  ... 0.34355828 0.6238358  0.72721875]
 [0.40980706 0.66576815 0.35491553 ... 0.3926003  0.5870115  0.6723811 ]
 [0.41585183 0.6619851  0.3593981  ... 0.39843002 0.58601403 0.6654651 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5966191  0.5706451  0.4765656  ... 0.5068042  0.67264473 0.57813257]
 [0.5886147  0.55280405 0.5060178  ... 0.5043731  0.6340763  0.55355126]
 [0.5956168  0.5621664  0.49609283 ... 0.50893235 0.6422661  0.5645391 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.7224576  0.34379974 0.42606053 ... 0.5554321  0.7806695  0.56060994]
 [0.6772157  0.38783568 0.44006026 ... 0.5469512  0.72897464 0.55180323]
 [0.6845453  0.38230702 0.4367177  ... 0.5512477  0.7283584  0.5403881 ]]"
55,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.38374177 0.72275084 0.29265916 ... 0.3832372  0.6325798  0.7327381 ]
 [0.4079813  0.6935902  0.32092655 ... 0.41049036 0.6180309  0.6974914 ]
 [0.3880664  0.7130402  0.30043012 ... 0.38911095 0.61824304 0.71659786]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.60417306 0.5645235  0.4703286  ... 0.493999   0.6691706  0.5732294 ]
 [0.59837854 0.5526132  0.521593   ... 0.4917402  0.6604809  0.56037456]
 [0.5763921  0.5528113  0.4922736  ... 0.48705    0.6344997  0.553443  ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.702964   0.3613623  0.42925757 ... 0.5607908  0.77301913 0.5409609 ]
 [0.69399345 0.40550095 0.42208284 ... 0.5567312  0.74561167 0.5388027 ]
 [0.67438364 0.38152567 0.44174412 ... 0.55151457 0.73761475 0.5643444 ]]"
56,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.36100188 0.7380286  0.27805954 ... 0.3281322  0.6167215  0.75103414]
 [0.35585988 0.7463181  0.26999605 ... 0.31941813 0.6198754  0.75926226]
 [0.3859488  0.6964898  0.32014826 ... 0.3490681  0.5889771  0.70202315]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5793794  0.5690888  0.4596881  ... 0.4870759  0.65669525 0.582682  ]
 [0.5971346  0.5615478  0.46700287 ... 0.5242848  0.6943301  0.6009274 ]
 [0.5705412  0.54796267 0.4977222  ... 0.48479334 0.63696545 0.56434196]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6984267  0.33277506 0.45047158 ... 0.5543689  0.7773783  0.5837629 ]
 [0.743308   0.31773433 0.42720893 ... 0.56188565 0.8079969  0.5837464 ]
 [0.6867288  0.3657711  0.4541513  ... 0.5559789  0.7421422  0.5903541 ]]"
57,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.3695321  0.73482686 0.27839613 ... 0.3597199  0.6206711  0.7405757 ]
 [0.4518264  0.6063637  0.40072992 ... 0.45342422 0.5651612  0.6136703 ]
 [0.39544928 0.6943413  0.3255112  ... 0.39027706 0.60430133 0.69478804]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5816077  0.570853   0.47368908 ... 0.49650136 0.6502061  0.5697147 ]
 [0.5905554  0.546336   0.51711875 ... 0.48743817 0.6284084  0.55037236]
 [0.5912712  0.5622469  0.49382806 ... 0.49581426 0.639434   0.5541499 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.68436575 0.35488448 0.43656075 ... 0.55706036 0.76190436 0.57094854]
 [0.65293217 0.43251956 0.43784016 ... 0.53678626 0.6725616  0.5081825 ]
 [0.6829664  0.3748645  0.43740267 ... 0.5447628  0.7398376  0.548455  ]]"
58,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.3792032  0.7174945  0.2991111  ... 0.36186823 0.61708766 0.72635776]
 [0.42042416 0.65167135 0.36898214 ... 0.41074088 0.58107954 0.6547998 ]
 [0.3762444  0.724312   0.28722596 ... 0.3674881  0.61729497 0.7332206 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.59049195 0.558831   0.48670715 ... 0.49599186 0.6675465  0.570266  ]
 [0.57795024 0.546418   0.5031837  ... 0.504643   0.63014007 0.5523527 ]
 [0.58937067 0.565816   0.4728872  ... 0.50315905 0.6755346  0.57454866]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.7081001  0.35964504 0.43213233 ... 0.5492349  0.76580435 0.5614389 ]
 [0.6681794  0.40037233 0.43691748 ... 0.5411105  0.7108465  0.5431479 ]
 [0.7103249  0.36225492 0.42782545 ... 0.55581266 0.77249396 0.55239683]]"
59,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.3725968  0.72118896 0.29625845 ... 0.3350424  0.6053788  0.72802055]
 [0.34749052 0.7394452  0.28327975 ... 0.3242954  0.62503105 0.7377985 ]
 [0.38400474 0.7154146  0.3016746  ... 0.3712126  0.61735094 0.71956146]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5809507  0.5613625  0.49961102 ... 0.4961227  0.64825284 0.55750364]
 [0.58152676 0.57508314 0.47764865 ... 0.5089714  0.67175466 0.5710653 ]
 [0.58854336 0.5685671  0.47618067 ... 0.49159163 0.67793316 0.5738389 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.70158094 0.3382405  0.45070964 ... 0.54586995 0.76854247 0.5792535 ]
 [0.71952504 0.32351995 0.43077514 ... 0.56149673 0.7964382  0.56380934]
 [0.70678264 0.360815   0.41839972 ... 0.5652953  0.76772946 0.55097675]]"
60,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.43595442 0.6222708  0.39011267 ... 0.43433687 0.5666541  0.62311405]
 [0.43530998 0.62706363 0.38618925 ... 0.42597786 0.56336725 0.62104785]
 [0.42001572 0.65954703 0.34814385 ... 0.42321828 0.57767504 0.66245276]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5833896  0.5363355  0.48978224 ... 0.5147362  0.6619995  0.58832586]
 [0.5799908  0.54171884 0.48462322 ... 0.5151486  0.65921813 0.587605  ]
 [0.5914554  0.5680802  0.5037824  ... 0.4985743  0.6506931  0.57503515]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.69839174 0.4185011  0.42809427 ... 0.5603481  0.7060551  0.51863116]
 [0.6959553  0.41098887 0.4266556  ... 0.5619588  0.70618534 0.5126267 ]
 [0.69177914 0.39949474 0.41409823 ... 0.5639741  0.7326629  0.5324537 ]]"
61,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.38367406 0.71595234 0.29884627 ... 0.3856861  0.6195555  0.7182057 ]
 [0.38232362 0.7229739  0.29205155 ... 0.37674204 0.61626285 0.7289596 ]
 [0.38792413 0.7083642  0.31231016 ... 0.38088062 0.61495215 0.711146  ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5807018  0.5550463  0.4984494  ... 0.49587628 0.6488258  0.5608675 ]
 [0.58387625 0.55928034 0.49366933 ... 0.48892447 0.6514421  0.5572719 ]
 [0.59240246 0.558401   0.4880464  ... 0.49237654 0.66578496 0.56400204]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6879585  0.38319936 0.43184134 ... 0.56552225 0.75251484 0.5543859 ]
 [0.6856541  0.36566302 0.4321495  ... 0.55562055 0.7546914  0.5666554 ]
 [0.69947547 0.36906758 0.42831048 ... 0.56653637 0.76482856 0.5553617 ]]"
